time,sgReading
14/01/16 23:33:11,5.888889
14/01/16 23:38:11,6
14/01/16 23:43:11,6.055556
14/01/16 23:48:11,6.111111
14/01/16 23:53:11,6.111111
14/01/16 23:58:11,6
15/01/16 00:03:11,6.055556
15/01/16 00:08:11,6.111111
15/01/16 00:13:11,6.166667
15/01/16 00:18:11,6.166667
15/01/16 00:23:11,6.111111
15/01/16 00:28:11,6.055556
15/01/16 00:33:11,6.111111
15/01/16 00:38:11,6.111111
15/01/16 00:43:10,6.111111
15/01/16 00:48:10,6.111111
15/01/16 00:53:10,6.111111
15/01/16 00:58:11,6.111111
15/01/16 01:03:10,6.111111
15/01/16 01:08:10,6.055556
15/01/16 01:13:10,6.055556
15/01/16 01:18:10,6.055556
15/01/16 01:23:10,6
15/01/16 01:28:10,6
15/01/16 01:33:10,6
15/01/16 01:38:10,6
15/01/16 01:43:10,6
15/01/16 01:48:10,6
15/01/16 01:53:10,5.888889
15/01/16 01:58:10,5.777778
15/01/16 02:03:10,5.611111
15/01/16 02:08:10,5.444444
15/01/16 02:13:10,5.388889
15/01/16 02:18:10,5.388889
15/01/16 02:23:10,5.277778
15/01/16 02:28:10,5.222222
15/01/16 02:33:10,5.166667
15/01/16 02:38:10,5.166667
15/01/16 02:43:10,5.055556
15/01/16 02:48:10,5.166667
15/01/16 02:53:10,5.277778
15/01/16 02:58:10,5.388889
15/01/16 03:03:10,5.5
15/01/16 03:08:10,5.388889
15/01/16 03:13:10,4.944444
15/01/16 03:18:10,5
15/01/16 03:23:10,5.111111
15/01/16 03:28:10,5.111111
15/01/16 03:33:10,5.111111
15/01/16 03:38:10,5.111111
15/01/16 03:43:10,5.055556
15/01/16 03:48:10,5.055556
15/01/16 03:53:10,5.055556
15/01/16 03:58:10,5.055556
15/01/16 04:03:10,5.055556
15/01/16 04:08:10,5.555556
15/01/16 04:13:10,5.666667
15/01/16 04:18:10,5.611111
15/01/16 04:23:10,5.5
15/01/16 04:28:10,5.333333
15/01/16 04:33:10,5.333333
15/01/16 04:38:10,5.277778
15/01/16 04:43:10,5.111111
15/01/16 04:48:10,5
15/01/16 04:53:10,4.944444
15/01/16 04:58:10,4.888889
15/01/16 05:03:10,4.833333
15/01/16 05:08:10,4.833333
15/01/16 05:13:10,4.777778
15/01/16 05:18:10,4.777778
15/01/16 05:23:10,4.777778
15/01/16 05:28:10,4.722222
15/01/16 05:33:10,4.777778
15/01/16 05:38:10,4.722222
15/01/16 05:43:10,4.777778
15/01/16 05:48:09,5.166667
15/01/16 05:53:10,5.222222
15/01/16 05:58:09,5.333333
15/01/16 06:03:09,5.055556
15/01/16 06:08:09,5
